url,url_length,num_dots,has_https,num_subdomains,contains_ip,suspicious_words,label
http://secure-login-bank.com,28,1,0,0,0,1,0
https://google.com,18,1,1,0,0,0,1
http://update-paypal.com/login,30,1,0,0,0,1,0
https://microsoft.com,21,1,1,0,0,0,1
https://openai.com/docs,23,1,1,0,0,0,1
https://microsoft.com/,22,1,1,0,0,0,1
https://wikipedia.org/home,26,1,1,0,0,0,1
https://microsoft.com/docs,26,1,1,0,0,0,1
https://wikipedia.org/home,26,1,1,0,0,0,1
https://microsoft.com/,22,1,1,0,0,0,1
https://google.com/about,24,1,1,0,0,0,1
https://github.com/docs,23,1,1,0,0,0,1
http://paypal-github.com-508.com,32,2,0,1,0,0,0
http://verify-amazon.com-504.com,32,2,0,1,0,1,0
http://account-wikipedia.org-277.com,36,2,0,1,0,1,0
https://microsoft.com/,22,1,1,0,0,0,1
http://support-github.com-691.com,33,2,0,1,0,0,0
https://github.com/home,23,1,1,0,0,0,1
http://paypal-openai.com-200.com,32,2,0,1,0,0,0
https://microsoft.com/,22,1,1,0,0,0,1
http://account-wikipedia.org-977.com,36,2,0,1,0,1,0
https://openai.com/,19,1,1,0,0,0,1
http://update-google.com-733.com,32,2,0,1,0,1,0
https://openai.com/home,23,1,1,0,0,0,1
http://login-amazon.com-146.com,31,2,0,1,0,1,0
http://support-microsoft.com-398.com,36,2,0,1,0,0,0
http://bank-amazon.com-557.com,30,2,0,1,0,0,0
http://support-openai.com-414.com,33,2,0,1,0,0,0
http://login-google.com-633.com,31,2,0,1,0,1,0
http://secure-amazon.com-233.com,32,2,0,1,0,1,0
https://amazon.com/docs,23,1,1,0,0,0,1
http://secure-wikipedia.org-775.com,35,2,0,1,0,1,0
https://google.com/docs,23,1,1,0,0,0,1
https://microsoft.com/docs,26,1,1,0,0,0,1
https://github.com/docs,23,1,1,0,0,0,1
https://openai.com/docs,23,1,1,0,0,0,1
http://secure-wikipedia.org-471.com,35,2,0,1,0,1,0
https://github.com/about,24,1,1,0,0,0,1
https://google.com/,19,1,1,0,0,0,1
https://amazon.com/about,24,1,1,0,0,0,1
https://wikipedia.org/about,27,1,1,0,0,0,1
https://google.com/home,23,1,1,0,0,0,1
http://secure-amazon.com-309.com,32,2,0,1,0,1,0
https://wikipedia.org/,22,1,1,0,0,0,1
http://support-amazon.com-103.com,33,2,0,1,0,0,0
http://support-github.com-885.com,33,2,0,1,0,0,0
https://openai.com/,19,1,1,0,0,0,1
https://microsoft.com/docs,26,1,1,0,0,0,1
http://account-openai.com-506.com,33,2,0,1,0,1,0
http://account-github.com-723.com,33,2,0,1,0,1,0
https://google.com/home,23,1,1,0,0,0,1
http://bank-microsoft.com-753.com,33,2,0,1,0,0,0
https://wikipedia.org/docs,26,1,1,0,0,0,1
http://support-amazon.com-752.com,33,2,0,1,0,0,0
http://secure-wikipedia.org-870.com,35,2,0,1,0,1,0
http://login-openai.com-300.com,31,2,0,1,0,1,0
http://verify-openai.com-118.com,32,2,0,1,0,1,0
https://openai.com/,19,1,1,0,0,0,1
http://login-amazon.com-733.com,31,2,0,1,0,1,0
https://openai.com/home,23,1,1,0,0,0,1
https://google.com/,19,1,1,0,0,0,1
http://support-openai.com-982.com,33,2,0,1,0,0,0
http://account-openai.com-443.com,33,2,0,1,0,1,0
http://login-google.com-106.com,31,2,0,1,0,1,0
http://support-amazon.com-250.com,33,2,0,1,0,0,0
http://account-github.com-484.com,33,2,0,1,0,1,0
http://verify-microsoft.com-358.com,35,2,0,1,0,1,0
http://update-github.com-255.com,32,2,0,1,0,1,0
http://login-amazon.com-952.com,31,2,0,1,0,1,0
https://google.com/docs,23,1,1,0,0,0,1
https://wikipedia.org/about,27,1,1,0,0,0,1
https://github.com/docs,23,1,1,0,0,0,1
https://microsoft.com/home,26,1,1,0,0,0,1
http://verify-google.com-870.com,32,2,0,1,0,1,0
https://amazon.com/,19,1,1,0,0,0,1
http://secure-microsoft.com-511.com,35,2,0,1,0,1,0
http://account-microsoft.com-389.com,36,2,0,1,0,1,0
http://bank-openai.com-122.com,30,2,0,1,0,0,0
https://wikipedia.org/docs,26,1,1,0,0,0,1
http://update-microsoft.com-712.com,35,2,0,1,0,1,0
https://microsoft.com/home,26,1,1,0,0,0,1
https://openai.com/,19,1,1,0,0,0,1
https://github.com/about,24,1,1,0,0,0,1
http://update-github.com-997.com,32,2,0,1,0,1,0
http://bank-openai.com-170.com,30,2,0,1,0,0,0
http://paypal-github.com-716.com,32,2,0,1,0,0,0
http://paypal-github.com-879.com,32,2,0,1,0,0,0
https://microsoft.com/home,26,1,1,0,0,0,1
http://update-wikipedia.org-914.com,35,2,0,1,0,1,0
http://login-amazon.com-686.com,31,2,0,1,0,1,0
https://wikipedia.org/,22,1,1,0,0,0,1
https://openai.com/about,24,1,1,0,0,0,1
https://github.com/home,23,1,1,0,0,0,1
http://update-microsoft.com-906.com,35,2,0,1,0,1,0
https://openai.com/about,24,1,1,0,0,0,1
https://microsoft.com/about,27,1,1,0,0,0,1
http://update-microsoft.com-976.com,35,2,0,1,0,1,0
http://secure-google.com-740.com,32,2,0,1,0,1,0
https://openai.com/home,23,1,1,0,0,0,1
https://github.com/about,24,1,1,0,0,0,1
https://github.com/home,23,1,1,0,0,0,1
https://github.com/docs,23,1,1,0,0,0,1
https://github.com/,19,1,1,0,0,0,1
https://github.com/about,24,1,1,0,0,0,1
https://microsoft.com/,22,1,1,0,0,0,1
http://verify-google.com-767.com,32,2,0,1,0,1,0
http://secure-github.com-501.com,32,2,0,1,0,1,0
https://github.com/docs,23,1,1,0,0,0,1
http://support-openai.com-315.com,33,2,0,1,0,0,0
https://wikipedia.org/about,27,1,1,0,0,0,1
https://microsoft.com/about,27,1,1,0,0,0,1
http://paypal-wikipedia.org-626.com,35,2,0,1,0,0,0
http://paypal-microsoft.com-917.com,35,2,0,1,0,0,0
https://microsoft.com/,22,1,1,0,0,0,1
http://update-wikipedia.org-909.com,35,2,0,1,0,1,0
http://secure-amazon.com-743.com,32,2,0,1,0,1,0
https://microsoft.com/docs,26,1,1,0,0,0,1
https://amazon.com/home,23,1,1,0,0,0,1
http://update-microsoft.com-426.com,35,2,0,1,0,1,0
https://microsoft.com/home,26,1,1,0,0,0,1
https://google.com/about,24,1,1,0,0,0,1
https://openai.com/home,23,1,1,0,0,0,1
http://account-openai.com-565.com,33,2,0,1,0,1,0
https://microsoft.com/,22,1,1,0,0,0,1
http://secure-openai.com-970.com,32,2,0,1,0,1,0
https://openai.com/home,23,1,1,0,0,0,1
https://amazon.com/about,24,1,1,0,0,0,1
http://login-github.com-437.com,31,2,0,1,0,1,0
https://openai.com/home,23,1,1,0,0,0,1
http://secure-github.com-729.com,32,2,0,1,0,1,0
http://support-wikipedia.org-991.com,36,2,0,1,0,0,0
https://amazon.com/docs,23,1,1,0,0,0,1
http://verify-wikipedia.org-514.com,35,2,0,1,0,1,0
http://login-amazon.com-528.com,31,2,0,1,0,1,0
http://update-google.com-534.com,32,2,0,1,0,1,0
https://google.com/,19,1,1,0,0,0,1
https://github.com/,19,1,1,0,0,0,1
https://github.com/,19,1,1,0,0,0,1
http://paypal-github.com-988.com,32,2,0,1,0,0,0
https://microsoft.com/,22,1,1,0,0,0,1
http://secure-wikipedia.org-439.com,35,2,0,1,0,1,0
https://github.com/about,24,1,1,0,0,0,1
http://secure-microsoft.com-928.com,35,2,0,1,0,1,0
http://account-openai.com-946.com,33,2,0,1,0,1,0
https://amazon.com/docs,23,1,1,0,0,0,1
http://paypal-openai.com-200.com,32,2,0,1,0,0,0
https://microsoft.com/home,26,1,1,0,0,0,1
https://microsoft.com/about,27,1,1,0,0,0,1
http://paypal-google.com-346.com,32,2,0,1,0,0,0
https://google.com/docs,23,1,1,0,0,0,1
https://openai.com/docs,23,1,1,0,0,0,1
http://verify-wikipedia.org-587.com,35,2,0,1,0,1,0
http://update-github.com-828.com,32,2,0,1,0,1,0
https://microsoft.com/home,26,1,1,0,0,0,1
http://support-microsoft.com-968.com,36,2,0,1,0,0,0
https://openai.com/home,23,1,1,0,0,0,1
http://secure-google.com-388.com,32,2,0,1,0,1,0
https://wikipedia.org/,22,1,1,0,0,0,1
https://google.com/about,24,1,1,0,0,0,1
https://amazon.com/home,23,1,1,0,0,0,1
http://secure-microsoft.com-745.com,35,2,0,1,0,1,0
http://account-openai.com-578.com,33,2,0,1,0,1,0
http://support-google.com-959.com,33,2,0,1,0,0,0
http://paypal-amazon.com-962.com,32,2,0,1,0,0,0
http://login-amazon.com-235.com,31,2,0,1,0,1,0
https://amazon.com/home,23,1,1,0,0,0,1
http://bank-microsoft.com-558.com,33,2,0,1,0,0,0
https://wikipedia.org/about,27,1,1,0,0,0,1
http://verify-microsoft.com-493.com,35,2,0,1,0,1,0
https://amazon.com/about,24,1,1,0,0,0,1
https://wikipedia.org/home,26,1,1,0,0,0,1
https://wikipedia.org/home,26,1,1,0,0,0,1
http://account-amazon.com-382.com,33,2,0,1,0,1,0
https://openai.com/about,24,1,1,0,0,0,1
https://wikipedia.org/docs,26,1,1,0,0,0,1
http://secure-google.com-583.com,32,2,0,1,0,1,0
https://wikipedia.org/,22,1,1,0,0,0,1
http://secure-microsoft.com-789.com,35,2,0,1,0,1,0
https://microsoft.com/docs,26,1,1,0,0,0,1
https://microsoft.com/docs,26,1,1,0,0,0,1
http://support-wikipedia.org-360.com,36,2,0,1,0,0,0
http://verify-google.com-492.com,32,2,0,1,0,1,0
https://amazon.com/docs,23,1,1,0,0,0,1
http://secure-github.com-395.com,32,2,0,1,0,1,0
https://amazon.com/,19,1,1,0,0,0,1
https://google.com/home,23,1,1,0,0,0,1
https://google.com/about,24,1,1,0,0,0,1
https://openai.com/docs,23,1,1,0,0,0,1
https://google.com/docs,23,1,1,0,0,0,1
http://support-openai.com-328.com,33,2,0,1,0,0,0
https://github.com/docs,23,1,1,0,0,0,1
